Discipline,HPSAID,HPSAName,DesignationType,PrimaryStateName,CountyName,HPSAFTEShort,HPSAScore,PCMCTAScore,Status,RuralStatus,DesignationDate,UpdateDate
Primary Care,10499904Z4,BOUSE MEDICAL CLINIC,Rural Health Clinic,Arizona,"La Paz County, AZ",,17,21,Withdrawn,Rural,05/03/2019,02/05/2024
Primary Care,1049572384,COPPER QUEEN COMMUNITY HOSPITAL- TOMBSTONE RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,17,17,Designated,Rural,12/28/2021,12/28/2021
Mental Health,7043689886,COPPER QUEEN COMMUNITY HOSPITAL- TOMBSTONE RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,17,NA,Designated,Rural,12/28/2021,12/28/2021
Dental Health,6041583738,COPPER QUEEN COMMUNITY HOSPITAL- TOMBSTONE RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,15,NA,Designated,Rural,12/28/2021,12/28/2021
Primary Care,1045689251,Sacred Peaks Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,18,14,Designated,Non-Rural,12/28/2021,12/28/2021
Mental Health,7046958241,Sacred Peaks Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,17,NA,Designated,Non-Rural,12/28/2021,12/28/2021
Dental Health,6047404670,Sacred Peaks Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,19,NA,Designated,Non-Rural,12/28/2021,12/28/2021
Dental Health,6048823742,LI - Benson,Low Income Population HPSA,Arizona,"Cochise County, AZ",0.191,9,NA,Designated,Partially Rural,03/22/2022,03/22/2022
Dental Health,6042509975,LI - Bisbee,Low Income Population HPSA,Arizona,"Cochise County, AZ",2.37,17,NA,Designated,Partially Rural,03/22/2022,03/22/2022
Dental Health,6042794976,LI - Payson,Low Income Population HPSA,Arizona,"Gila County, AZ",2.30,15,NA,Designated,Rural,03/22/2022,03/22/2022
Dental Health,6049718457,San Carlos Apache Tribe,High Needs Geographic HPSA,Arizona,"Gila County, AZ | Graham County, AZ",0.06,15,NA,Designated,Rural,03/23/2022,03/23/2022
Dental Health,6045867317,LI-Thatcher,Low Income Population HPSA,Arizona,"Graham County, AZ",0.803,15,NA,Designated,Rural,03/23/2022,03/23/2022
Dental Health,6042424738,Morenci,Geographic HPSA,Arizona,"Greenlee County, AZ",1.88,15,NA,Designated,Rural,03/23/2022,03/23/2022
Primary Care,10499904QF,SAGE MEMORIAL HOSPITAL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",,20,22,Designated,Rural,03/20/2012,01/18/2022
Mental Health,704999047R,SAGE MEMORIAL HOSPITAL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",,20,NA,Designated,Rural,03/20/2012,01/18/2022
Dental Health,60499904FN,SAGE MEMORIAL HOSPITAL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",,24,NA,Designated,Rural,05/08/2012,01/18/2022
Primary Care,10499904C7,"United Community Health Center-Maria Auxiliadora, Inc.",Federally Qualified Health Center,Arizona,"Pima County, AZ",,19,18,Designated,Rural,08/28/2003,01/21/2022
Dental Health,6045783465,Colorado River Indian Tribe,High Needs Geographic HPSA,Arizona,"La Paz County, AZ",0.01,13,NA,Designated,Rural,09/28/2022,09/28/2022
Primary Care,1042869370,FCI - Phoenix,Correctional Facility,Arizona,"Maricopa County, AZ",1.25,12,0 ,Designated,Non-Rural,02/01/2019,04/15/2022
Dental Health,6046458449,FCI - Phoenix,Correctional Facility,Arizona,"Maricopa County, AZ",1.07,12,NA,Designated,Non-Rural,02/01/2019,04/15/2022
Mental Health,7048182989,FCI - Phoenix,Correctional Facility,Arizona,"Maricopa County, AZ",0.80,12,NA,Designated,Non-Rural,02/01/2019,04/15/2022
Primary Care,1041417481,Arizona State Prison - Douglas,Correctional Facility,Arizona,"Cochise County, AZ",0.27,3,0 ,Designated,Rural,09/01/2022,09/01/2022
Mental Health,7042342100,Arizona State Prison - Douglas,Correctional Facility,Arizona,"Cochise County, AZ",0.73,24,NA,Designated,Rural,09/01/2022,09/01/2022
Mental Health,7045987723,Arizona State Prison - Florence,Correctional Facility,Arizona,"Pinal County, AZ",0.51,21,NA,Designated,Rural,09/01/2022,09/01/2022
Primary Care,1049185996,Arizona State Prison - Florence,Correctional Facility,Arizona,"Pinal County, AZ",6.20,6,0 ,Designated,Rural,07/05/2022,07/05/2022
Primary Care,1043428594,Arizona State Prison - Perryville,Correctional Facility,Arizona,"Maricopa County, AZ",2.47,6,0 ,Designated,Non-Rural,07/05/2022,07/05/2022
Mental Health,7043078991,Arizona State Prison - Perryville,Correctional Facility,Arizona,"Maricopa County, AZ",2.18,12,NA,Designated,Non-Rural,07/18/2022,07/18/2022
Primary Care,1042675669,Arizona State Prison - Safford,Correctional Facility,Arizona,"Graham County, AZ",1.32,21,9 ,Designated,Rural,09/01/2022,09/01/2022
Mental Health,7041720569,Arizona State Prison - Safford,Correctional Facility,Arizona,"Graham County, AZ",0.76,24,NA,Designated,Rural,09/06/2022,09/06/2022
Primary Care,1045607033,Arizona State Prison - Winslow,Correctional Facility,Arizona,"Navajo County, AZ",0.94,12,0 ,Designated,Rural,09/20/2022,09/20/2022
Mental Health,7046370260,Arizona State Prison - Winslow,Correctional Facility,Arizona,"Navajo County, AZ",0.56,21,NA,Designated,Rural,09/12/2022,09/12/2022
Mental Health,7047722716,Arizona State Prison - Eyman,Correctional Facility,Arizona,"Pinal County, AZ",3.38,21,NA,Designated,Rural,09/12/2022,09/12/2022
Primary Care,1044783605,Arizona State Prison - Eyman,Correctional Facility,Arizona,"Pinal County, AZ",4.56,6,0 ,Designated,Rural,09/12/2022,09/12/2022
Dental Health,6044613099,Arizona State Prison Complex - Eyman,Correctional Facility,Arizona,"Pinal County, AZ",1.275,3,NA,Designated,Rural,09/12/2022,09/12/2022
Mental Health,7043795433,Arizona State Prison-Lewis,Correctional Facility,Arizona,"Maricopa County, AZ",2.68,12,NA,Designated,Rural,09/12/2022,09/12/2022
Primary Care,1044959889,Arizona State Prison - Lewis,Correctional Facility,Arizona,"Maricopa County, AZ",4.68,21,6 ,Designated,Rural,09/12/2022,09/12/2022
Mental Health,7049683903,Arizona State Prison - Phoenix,Correctional Facility,Arizona,"Maricopa County, AZ",3.97,6,NA,Designated,Non-Rural,09/20/2022,09/20/2022
Primary Care,1041810718,Arizona State Prison - Phoenix,Correctional Facility,Arizona,"Maricopa County, AZ",2.36,6,0 ,Designated,Non-Rural,09/20/2022,09/20/2022
Dental Health,6044084368,Arizona State Prison - Phoenix,Correctional Facility,Arizona,"Maricopa County, AZ",5.43,6,NA,Designated,Non-Rural,09/20/2022,09/20/2022
Mental Health,7043056412,Arizona State Prison Complex-Tucson,Correctional Facility,Arizona,"Pima County, AZ",2.91,12,NA,Designated,Non-Rural,09/12/2022,09/12/2022
Primary Care,1048818274,Arizona State Prison Complex-Tucson,Correctional Facility,Arizona,"Pima County, AZ",2.02,3,0 ,Designated,Non-Rural,09/12/2022,09/12/2022
Dental Health,6044743536,Arizona State Prison - Yuma,Correctional Facility,Arizona,"Yuma County, AZ",0.66,3,NA,Designated,Non-Rural,09/01/2022,09/01/2022
Primary Care,1048926116,Arizona State Prison - Yuma,Correctional Facility,Arizona,"Yuma County, AZ",2.16,15,9 ,Designated,Non-Rural,09/20/2022,09/20/2022
Mental Health,7044519305,Arizona State Prison - Yuma,Correctional Facility,Arizona,"Yuma County, AZ",1.45,15,NA,Designated,Non-Rural,09/01/2022,09/01/2022
Primary Care,1044072815,Navajo Nation and Hopi Tribe,High Needs Geographic HPSA,Arizona,"Apache County, AZ | Coconino County, AZ | Navajo County, AZ",2.19,11,17,Designated,Rural,09/01/2022,09/01/2022
Dental Health,6047273943,LI - Chino Valley,Low Income Population HPSA,Arizona,"Yavapai County, AZ",1.635,15,NA,Designated,Partially Rural,09/20/2022,09/20/2022
Dental Health,6041627030,LI - Coolidge,Low Income Population HPSA,Arizona,"Pinal County, AZ",1.88,17,NA,Designated,Partially Rural,09/20/2022,09/20/2022
Dental Health,6045412679,LI - Maricopa,Low Income Population HPSA,Arizona,"Pinal County, AZ",4.35,15,NA,Designated,Partially Rural,09/28/2022,09/28/2022
Dental Health,6042600034,LI-Florence,Low Income Population HPSA,Arizona,"Pinal County, AZ",2.43,15,NA,Designated,Partially Rural,09/12/2022,09/12/2022
Dental Health,6049800460,Hualapai Tribe,High Needs Geographic HPSA,Arizona,"Mohave County, AZ",0.36,13,NA,Designated,Rural,09/12/2022,09/12/2022
Dental Health,6048089446,LI - Gila River Indian Community,Low Income Population HPSA,Arizona,"Maricopa County, AZ | Pinal County, AZ",1.85,23,NA,Designated,Partially Rural,09/12/2022,09/12/2022
Dental Health,6048313241,LI-Buckeye,Low Income Population HPSA,Arizona,"Maricopa County, AZ",4.705,15,NA,Designated,Partially Rural,09/12/2022,09/12/2022
Dental Health,6048520098,LI - Tucson Estates,Low Income Population HPSA,Arizona,"Pima County, AZ",1.09,15,NA,Designated,Non-Rural,09/28/2022,09/28/2022
Dental Health,6045209282,LI - Flowing Wells,Low Income Population HPSA,Arizona,"Pima County, AZ",2.37,19,NA,Designated,Non-Rural,09/28/2022,09/28/2022
Dental Health,6041847071,Tucson South,High Needs Geographic HPSA,Arizona,"Pima County, AZ",9.255,13,NA,Designated,Non-Rural,09/30/2022,09/30/2022
Dental Health,6048832519,LI - Tucson Foothills,Low Income Population HPSA,Arizona,"Pima County, AZ",2.834,13,NA,Designated,Non-Rural,09/30/2022,09/30/2022
Dental Health,6043533758,LI - Tucson Central,Low Income Population HPSA,Arizona,"Pima County, AZ",9.096,19,NA,Designated,Non-Rural,09/30/2022,09/30/2022
Dental Health,6045362262,LI - Tucson West,Low Income Population HPSA,Arizona,"Pima County, AZ",3.099,17,NA,Designated,Non-Rural,09/30/2022,09/30/2022
Dental Health,6047525579,Vail,Geographic HPSA,Arizona,"Pima County, AZ",3.17,11,NA,Designated,Non-Rural,09/30/2022,09/30/2022
Dental Health,6048225739,LI - Avondale,Low Income Population HPSA,Arizona,"Maricopa County, AZ",2.762,11,NA,Designated,Non-Rural,10/04/2022,10/04/2022
Dental Health,6047530335,Navajo Nation and Hopi Tribe,High Needs Geographic HPSA,Arizona,"Apache County, AZ | Coconino County, AZ | Navajo County, AZ",9.445,17,NA,Designated,Rural,10/04/2022,10/04/2022
Dental Health,6049139910,LI - Pascua Yaqui Tribe,Low Income Population HPSA,Arizona,"Pima County, AZ",0.70,19,NA,Designated,Non-Rural,10/04/2022,10/04/2022
Dental Health,6041055811,LI - Ajo,Low Income Population HPSA,Arizona,"Pima County, AZ",0.104,11,NA,Designated,Rural,10/04/2022,10/04/2022
Dental Health,6049849752,LI - Laveen Village,Low Income Population HPSA,Arizona,"Maricopa County, AZ",5.74,15,NA,Designated,Non-Rural,10/04/2022,10/04/2022
Primary Care,1043810523,LI - Payson,Low Income Population HPSA,Arizona,"Gila County, AZ",2.407,18,13,Designated,Rural,09/27/2022,09/27/2022
Primary Care,1044000206,Native Health - Mesa,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,18,14,Designated,Non-Rural,08/04/2022,08/04/2022
Mental Health,7048287114,Native Health - Mesa,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,16,NA,Designated,Non-Rural,08/04/2022,08/04/2022
Dental Health,6042702983,Native Health - Mesa,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,19,NA,Designated,Non-Rural,08/04/2022,08/04/2022
Primary Care,1048408075,"Native American Connections, Inc.","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,18,17,Withdrawn,Non-Rural,08/04/2022,07/06/2023
Mental Health,7044656039,"Native American Connections, Inc.","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,17,NA,Withdrawn,Non-Rural,08/04/2022,07/06/2023
Dental Health,6048338316,"Native American Connections, Inc.","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,19,NA,Withdrawn,Non-Rural,08/04/2022,07/06/2023
Primary Care,1043825330,BLACK CANYON COMMUNITY HEALTH CENTER,Federally Qualified Health Center Look-alike,Arizona,"Yavapai County, AZ",,12,13,Designated,Rural,09/09/2022,09/09/2022
Mental Health,7042766333,BLACK CANYON COMMUNITY HEALTH CENTER,Federally Qualified Health Center Look-alike,Arizona,"Yavapai County, AZ",,16,NA,Designated,Rural,09/09/2022,09/09/2022
Dental Health,6045157333,BLACK CANYON COMMUNITY HEALTH CENTER,Federally Qualified Health Center Look-alike,Arizona,"Yavapai County, AZ",,11,NA,Designated,Rural,09/09/2022,09/09/2022
Primary Care,104999040L,"Valle Del Sol, Inc.",Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,19,19,Designated,Non-Rural,07/25/2014,09/14/2022
Mental Health,704999040E,"Valle Del Sol, Inc.",Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,20,NA,Designated,Non-Rural,07/25/2014,09/14/2022
Primary Care,1042766891,TUBA CITY REGIONAL HEALTH CARE CORPORATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,17,20,Designated,Rural,08/18/2019,10/21/2022
Mental Health,7045104091,TUBA CITY REGIONAL HEALTH CARE CORPORATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,19,NA,Designated,Rural,08/18/2019,10/21/2022
Dental Health,6048810213,TUBA CITY REGIONAL HEALTH CARE CORPORATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,22,NA,Designated,Rural,08/18/2019,10/21/2022
Primary Care,1048774941,PONDEROSA FAMILY CARE,Rural Health Clinic,Arizona,"Gila County, AZ",,17,15,Designated,Rural,12/16/2022,12/16/2022
Mental Health,7045364274,PONDEROSA FAMILY CARE,Rural Health Clinic,Arizona,"Gila County, AZ",,15,NA,Designated,Rural,12/16/2022,12/16/2022
Dental Health,6043096057,PONDEROSA FAMILY CARE,Rural Health Clinic,Arizona,"Gila County, AZ",,15,NA,Designated,Rural,12/16/2022,12/16/2022
Primary Care,1043090418,SUNSITES MEDICAL CLINIC,Rural Health Clinic,Arizona,"Cochise County, AZ",,16,17,Designated,Rural,12/16/2022,12/16/2022
Mental Health,7042753166,SUNSITES MEDICAL CLINIC,Rural Health Clinic,Arizona,"Cochise County, AZ",,15,NA,Designated,Rural,12/16/2022,12/16/2022
Dental Health,6045544618,SUNSITES MEDICAL CLINIC,Rural Health Clinic,Arizona,"Cochise County, AZ",,15,NA,Designated,Rural,12/16/2022,12/16/2022
Primary Care,1048491488,SULPHUR SPRINGS MEDICAL CENTER,Rural Health Clinic,Arizona,"Cochise County, AZ",,16,16,Designated,Rural,12/16/2022,12/16/2022
Mental Health,7047470506,SULPHUR SPRINGS MEDICAL CENTER,Rural Health Clinic,Arizona,"Cochise County, AZ",,17,NA,Designated,Rural,12/16/2022,12/16/2022
Dental Health,6044840378,SULPHUR SPRINGS MEDICAL CENTER,Rural Health Clinic,Arizona,"Cochise County, AZ",,15,NA,Designated,Rural,12/16/2022,12/16/2022
Primary Care,104009,Graham,Geographic HPSA,Arizona,"Graham County, AZ",2.30,0,NA,Withdrawn,Rural,03/09/2007,05/08/2012
Mental Health,7045725444,LI - Tucson Foothills,Low Income Population HPSA,Arizona,"Pima County, AZ",1.277,14,NA,Designated,Unknown,05/24/2023,05/24/2023
Primary Care,104011,Greenlee,Geographic HPSA,Arizona,"Greenlee County, AZ",1.30,0,NA,Withdrawn,Rural,02/16/2006,02/03/2012
Primary Care,104012,La Paz County,High Needs Geographic HPSA,Arizona,"La Paz County, AZ",1.91,14,NA,Withdrawn,Rural,04/18/1989,06/26/2017
Primary Care,104023,Santa Cruz County,High Needs Geographic HPSA,Arizona,"Santa Cruz County, AZ",1.25,9,NA,Withdrawn,Rural,12/19/2012,06/26/2017
Primary Care,1044370137,GILA VALLEY CLINIC,Rural Health Clinic,Arizona,"Graham County, AZ",,15,16,Designated,Rural,04/22/2021,08/26/2023
Primary Care,104027,Yuma County,Geographic HPSA,Arizona,"Yuma County, AZ",5.70,10,NA,Withdrawn,Partially Rural,02/28/2007,06/26/2017
Primary Care,1045876039,Ak Chin RCIS,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,18,15,Designated,Rural,10/05/2023,10/05/2023
Mental Health,7045866698,Ak Chin RCIS,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,16,NA,Designated,Rural,10/05/2023,10/05/2023
Dental Health,6046514685,Ak Chin RCIS,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,19,NA,Designated,Rural,10/05/2023,10/05/2023
Primary Care,1049990401,Poverty Population/Migrant Farmworker - Somerton,Low Income Migrant Farmworker Population HPSA,Arizona,"Yuma County, AZ",,0,NA,Withdrawn,Partially Rural,12/11/1984,09/30/1996
Primary Care,1049990402,Bowie,Geographic HPSA,Arizona,"Cochise County, AZ",,0,NA,Withdrawn,Rural,05/11/1978,03/11/1999
Primary Care,1049990404,Marana,Geographic HPSA,Arizona,"Cochise County, AZ",,0,NA,Withdrawn,Rural,05/11/1978,04/14/1993
Primary Care,1049990405,Winslow,Geographic HPSA,Arizona,"Navajo County, AZ",,0,NA,Withdrawn,Rural,04/12/1979,03/22/1984
Primary Care,1049990406,Globe-Miami-Superior,Geographic HPSA,Arizona,"Gila County, AZ | Navajo County, AZ | Pinal County, AZ",,0,NA,Withdrawn,Partially Rural,02/20/1979,03/06/1981
Primary Care,1049990407,Low Income - South Central Phoenix,Low Income Population HPSA,Arizona,"Gila County, AZ | Maricopa County, AZ",,0,NA,Withdrawn,Partially Rural,05/11/1978,02/24/2009
Primary Care,1049990408,Ash Fork,High Needs Geographic HPSA,Arizona,"Yavapai County, AZ",0.75,17,NA,Withdrawn,Rural,06/07/1979,06/26/2017
Primary Care,104999040C,Avondale/Tolleson,Geographic HPSA,Arizona,"Maricopa County, AZ",15.35,11,NA,Withdrawn,Non-Rural,05/18/2008,07/02/2018
Primary Care,104999040D,Phoenix Sunnyslope,High Needs Geographic HPSA,Arizona,"Maricopa County, AZ",2.18,12,NA,Withdrawn,Non-Rural,08/07/2013,07/02/2018
Primary Care,104999040F,Ahwatukee,Geographic HPSA,Arizona,"Maricopa County, AZ",17.73,9,NA,Withdrawn,Non-Rural,12/11/2013,07/02/2018
Primary Care,104999040G,Queen Creek,Geographic HPSA,Arizona,"Maricopa County, AZ",11.74,9,NA,Withdrawn,Non-Rural,12/11/2013,07/02/2018
Primary Care,104999040H,Tucson-West,Geographic HPSA,Arizona,"Pima County, AZ",6.89,12,NA,Withdrawn,Non-Rural,12/20/2013,07/02/2018
Primary Care,104999040I,Low Income - Tempe,Low Income Population HPSA,Arizona,"Maricopa County, AZ",15.98,15,NA,Withdrawn,Non-Rural,12/24/2013,07/02/2018
Primary Care,104999040J,Eloy Service Area,High Needs Geographic HPSA,Arizona,"Pinal County, AZ",5.35,14,NA,Withdrawn,Partially Rural,12/24/2013,06/26/2017
Primary Care,1049990410,Northern Yuma,Geographic HPSA,Arizona,"Yuma County, AZ",,0,NA,Withdrawn,Partially Rural,04/06/1978,04/18/1989
Primary Care,1049990411,South-South Central Apache County,Geographic HPSA,Arizona,"Apache County, AZ",,0,NA,Withdrawn,Rural,05/11/1978,06/23/1980
Mental Health,7049990402,Medical/Max Secur. Adult Prison,Correctional Facility,Arizona,,0.00,0,NA,Withdrawn,Unknown,08/24/1979,10/02/1995
Mental Health,7049990405,Medical/Max Security Jail,Correctional Facility,Arizona,,0.00,0,NA,Withdrawn,Unknown,11/24/1982,12/02/1986
Mental Health,7049990407,Maricopa County Jails,Correctional Facility,Arizona,,22.00,0,NA,Withdrawn,Unknown,10/28/1997,11/03/2011
Primary Care,1049990413,Hopi Indian Tribe,Native American Population HPSA,Arizona,"Coconino County, AZ | Navajo County, AZ",,0,NA,Withdrawn,Rural,05/11/1978,04/14/1993
Mental Health,7049990416,Arizona State Prison - Florence,Correctional Facility,Arizona,,0.00,0,NA,Withdrawn,Unknown,03/22/2002,12/31/2007
Mental Health,7049990425,Maricopa County Community Health Center,Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,14,NA,Withdrawn,Non-Rural,08/28/2003,06/25/2019
Mental Health,7049990438,San Carlos PHS Indian Hospital,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Gila County, AZ",0.00,14,NA,Withdrawn,Rural,10/26/2002,02/03/2020
Mental Health,7049990442,Fort Yuma PHS Indian Hospital,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Yuma County, AZ",0.00,0,NA,Withdrawn,Non-Rural,10/26/2002,08/17/2010
Mental Health,7049990446,Phoenix Indian Center,Other Facility,Arizona,"Maricopa County, AZ",0.00,0,NA,Withdrawn,Non-Rural,10/19/2004,06/29/2012
Mental Health,7049990456,Gila River Health Care Corporation,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",0.00,18,NA,Withdrawn,Rural,08/01/2008,09/09/2013
Mental Health,7049990457,Tohono O'Odham Nation,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",0.00,11,NA,Withdrawn,Rural,10/26/2002,02/05/2020
Mental Health,7049990460,Phx Area Office Two Renaissance Square,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",0.00,0,NA,Withdrawn,Non-Rural,12/05/2005,06/11/2016
Mental Health,7049990466,Yavapai-Prescott Tribe,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Yavapai County, AZ",0.00,18,NA,Withdrawn,Non-Rural,10/26/2002,02/05/2020
Mental Health,7049990472,Naca Family Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",0.00,14,NA,Withdrawn,Non-Rural,10/02/2002,02/05/2020
Mental Health,7049990477,Navajo Division of Emergency Medical Services,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",0.00,22,NA,Withdrawn,Rural,06/02/2010,02/05/2020
Mental Health,7049990478,Navajo Division of Health,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",0.00,22,NA,Withdrawn,Rural,06/02/2010,02/05/2020
Mental Health,7049990479,Navajo Division of Social Services,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",0.00,22,NA,Withdrawn,Rural,06/03/2010,02/05/2020
Mental Health,704999047A,San Juan Southern Paiute Tribe,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",0.00,14,NA,Withdrawn,Rural,06/10/2010,02/05/2020
Mental Health,704999047C,Tonto Apache Tribe,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Gila County, AZ",0.00,14,NA,Withdrawn,Rural,06/18/2010,02/05/2020
Mental Health,704999047E,Health and Social Services Committee,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",0.00,0,NA,Withdrawn,Rural,06/21/2010,02/05/2020
Mental Health,704999047H,Hualapai Tribe,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Mohave County, AZ",0.00,22,NA,Withdrawn,Rural,06/24/2010,02/05/2020
Mental Health,704999047L,White Mountain Apache Tribe,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",0.00,0,NA,Withdrawn,Rural,06/24/2010,02/05/2020
Mental Health,704999047O,Cocopah Tribe,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Yuma County, AZ",0.00,20,NA,Withdrawn,Non-Rural,07/01/2010,02/05/2020
Mental Health,704999047P,Immigration and Customs Enforcement - Pinal Count,Correctional Facility,Arizona,"Pinal County, AZ",0.41,12,NA,Withdrawn,Rural,08/13/2010,06/25/2019
Mental Health,704999047Q,Rightway Healthcare LLC,Rural Health Clinic,Arizona,"Pinal County, AZ",,16,NA,Withdrawn,Non-Rural,06/28/2011,06/25/2019
Primary Care,1049990414,Sierra Vista-Tombstone,Geographic HPSA,Arizona,"Cochise County, AZ",1.63,10,NA,Withdrawn,Partially Rural,05/11/1978,07/02/2018
Primary Care,1049990415,White Mountain Apache Indian Tribe,Native American Population HPSA,Arizona,"Apache County, AZ | Cochise County, AZ",,0,NA,Withdrawn,Partially Rural,05/11/1978,10/02/1995
Primary Care,1049990416,LOW - INC/MFW CENTRAL/WEST PINAL,Low Income Migrant Farmworker Population HPSA,Arizona,"Apache County, AZ | Pinal County, AZ",0.00,0,NA,Withdrawn,Partially Rural,07/28/1981,11/03/2011
Primary Care,1049990418,Morongo Basin (AZ/Catchment Area),Geographic HPSA,Arizona,"Mohave County, AZ | Pinal County, AZ | San Bernardino County, CA",,0,NA,Withdrawn,Partially Rural,09/17/1979,04/11/1980
Primary Care,1049990419,Williams,Geographic HPSA,Arizona,"Coconino County, AZ",,0,NA,Withdrawn,Partially Rural,12/31/1979,03/22/1984
Primary Care,1049990420,Payson,Geographic HPSA,Arizona,"Gila County, AZ",,0,NA,Withdrawn,Rural,04/18/1980,04/23/1985
Primary Care,1049990421,Medically Indigent Population - Guadalupe,Other Population HPSA,Arizona,"Maricopa County, AZ",,0,NA,Withdrawn,Non-Rural,03/06/1980,08/01/1997
Primary Care,1049990422,Benson,Geographic HPSA,Arizona,"Cochise County, AZ",0.26,9,NA,Withdrawn,Partially Rural,10/26/2011,07/02/2018
Primary Care,1049990423,Sanders,Geographic HPSA,Arizona,"Apache County, AZ",0.60,0,NA,Withdrawn,Rural,06/23/1980,06/29/2012
Primary Care,1049990424,St. Johns,Geographic HPSA,Arizona,"Apache County, AZ",,0,NA,Withdrawn,Rural,06/23/1980,04/18/1989
Primary Care,1049990426,Bullhead City,Geographic HPSA,Arizona,"Mohave County, AZ",0.00,0,NA,Withdrawn,Partially Rural,02/18/1981,12/31/1996
Primary Care,1049990427,Ganado,Geographic HPSA,Arizona,"Apache County, AZ | Navajo County, AZ",,0,NA,Withdrawn,Rural,06/29/1981,04/27/2007
Primary Care,1049990429,Superior,Geographic HPSA,Arizona,"Navajo County, AZ | Pinal County, AZ",,0,NA,Withdrawn,Partially Rural,07/28/1981,06/30/1999
Primary Care,1049990430,Bisbee,Geographic HPSA,Arizona,"Cochise County, AZ",,0,NA,Withdrawn,Partially Rural,08/02/1982,04/14/1993
Primary Care,1049990431,Chinle,Geographic HPSA,Arizona,"Apache County, AZ | Cochise County, AZ",,0,NA,Withdrawn,Partially Rural,12/29/1982,04/27/2007
Primary Care,1049990432,Arivaca,Geographic HPSA,Arizona,"Pima County, AZ",4.18,9,NA,Withdrawn,Partially Rural,03/04/1983,07/02/2018
Primary Care,1049990433,Continental,Geographic HPSA,Arizona,"Pima County, AZ",0.20,0,NA,Withdrawn,Partially Rural,04/05/1983,06/29/2012
Primary Care,1049990434,Heber-Overgaard,Geographic HPSA,Arizona,"Navajo County, AZ",2.29,16,NA,Withdrawn,Rural,08/19/1983,06/26/2017
Primary Care,1049990435,Gila River Indian Community,Native American Population HPSA,Arizona,"Maricopa County, AZ | Pinal County, AZ",,0,NA,Withdrawn,Partially Rural,04/27/1983,10/02/1995
